Product,Category,Size,Units Sold,Sale Price,Sale Date
Shorts,Children,XL,1,27.03,2023-01-01 00:00
Jeans,Children,XS,4,56.77,2023-01-01 00:01
Skirt,Men,XL,3,38.72,2023-01-01 00:02
Jacket,Women,S,1,77.47,2023-01-01 00:03
Shorts,Children,L,3,32.21,2023-01-01 00:04
Hat,Men,XL,3,15.94,2023-01-01 00:05
Sweater,Women,XL,3,42.48,2023-01-01 00:06
Shorts,Women,XXL,4,33.34,2023-01-01 00:07
Skirt,Women,XS,4,38.29,2023-01-01 00:08
Jacket,Men,S,3,77.72,2023-01-01 00:09
Jeans,Children,XL,3,54.53,2023-01-01 00:10
Skirt,Men,XXL,3,35.52,2023-01-01 00:11
Skirt,Children,XXL,2,32.83,2023-01-01 00:12
Sweater,Women,M,1,36.68,2023-01-01 00:13
Dress,Women,XXL,4,68.34,2023-01-01 00:14
Jacket,Men,S,2,79.83,2023-01-01 00:15
Hoodie,Women,XS,2,44.47,2023-01-01 00:16
Skirt,Men,XS,2,39.03,2023-01-01 00:17
Dress,Children,XS,4,60.01,2023-01-01 00:18
Hoodie,Women,S,2,56.12,2023-01-01 00:19
Jacket,Children,XXL,4,69.76,2023-01-01 00:20
T-Shirt,Women,S,1,20.41,2023-01-01 00:21
Hat,Children,XL,2,12.86,2023-01-01 00:22
Dress,Women,XS,4,76.66,2023-01-01 00:23
Socks,Children,XXL,3,10.7,2023-01-01 00:24
T-Shirt,Women,XS,1,19.67,2023-01-01 00:25
Hat,Men,XXL,3,16.79,2023-01-01 00:26
Sweater,Children,XXL,2,37.74,2023-01-01 00:27
Shorts,Children,S,2,27.5,2023-01-01 00:28
Jeans,Men,S,4,55.01,2023-01-01 00:29
Socks,Men,M,3,9.74,2023-01-01 00:30
Sweater,Men,XS,4,38.76,2023-01-01 00:31
Jacket,Women,XXL,2,72.63,2023-01-01 00:32
Sweater,Men,S,2,45.57,2023-01-01 00:33
Shorts,Women,S,4,34.51,2023-01-01 00:34
Jacket,Women,XL,2,87.65,2023-01-01 00:35
Socks,Men,XS,2,9.39,2023-01-01 00:36
Shorts,Men,M,1,31.2,2023-01-01 00:37
Hoodie,Women,S,3,43.6,2023-01-01 00:38
Jeans,Children,XL,1,60.71,2023-01-01 00:39
Socks,Children,XXL,2,8.48,2023-01-01 00:40
Hoodie,Men,XL,1,43.85,2023-01-01 00:41
Hat,Children,L,4,15.68,2023-01-01 00:42
Socks,Women,XXL,3,9.95,2023-01-01 00:43
Hat,Children,XXL,2,16.99,2023-01-01 00:44
Jacket,Women,XXL,3,91.39,2023-01-01 00:45
Hoodie,Men,XS,3,41.53,2023-01-01 00:46
Jeans,Men,XL,2,50.1,2023-01-01 00:47
Shorts,Children,M,4,34.98,2023-01-01 00:48
Skirt,Men,XS,1,35.34,2023-01-01 00:49
Sweater,Men,M,3,32.11,2023-01-01 00:50
T-Shirt,Women,XXL,3,22.38,2023-01-01 00:51
Jeans,Women,XL,4,66.74,2023-01-01 00:52
Hoodie,Women,XS,2,49.42,2023-01-01 00:53
Skirt,Women,XL,4,40.82,2023-01-01 00:54
Jeans,Men,XL,4,61.63,2023-01-01 00:55
